id,title,url,source,published_at,category,status,snippet,content,content_source,summary,sentiment,method,query,collected_at
119,BlackRock takes majority ownership of Meta’s massive El Paso data center. Here’s what to know. - El Paso Matters,https://elpasomatters.org/2026/08/09/el-paso-meta-data-center-blackrock-texas-ai-finance-tax-agreement/,El Paso Matters,2026-08-09,technology,unsummarized,BlackRock takes majority ownership of Meta’s massive El Paso data center. Here’s what to know.&nbsp;&nbsp;El Paso Matters,"Meta Platforms does not appear to have breached its tax break agreement with the city of El Paso when the technology giant last week sold majority ownership of its data center project to BlackRock Inc., according to the El Paso city attorney’s office. Meta and BlackRock last month formed a joint venture to develop and operate the data center that’s under construction in Northeast El Paso. BlackRock – the world’s largest asset manager – will contribute cash and own 80% of the project, while Meta will rent the data center and hold a 20% ownership stake. A BlackRock-controlled company called Sopaipilla Investor sold $12.3 billion in bonds to debt investors late last month to generate cash and finish building the data center over the next two years. “The City was not provided the terms of the proposed transaction before Meta’s public announcement,” the city said in a statement. “Based on our review of the City’s agreements and the publicly available information, our preliminary analysis is that the proposed transaction does not currently appear to trigger the assignment provisions of the City’s agreements.” The term “assignment provisions” refers to several clauses in the 2023 contract between the city and Meta subsidiary, Wurldwide LLC, that contemplate what happens if Meta sells all or a portion of the data center to another entity. In most cases, if Meta sold a portion of the data center to another company, the contract would only require Wurldwide to send notice to the city – not ask for approval. The BlackRock-Meta joint venture “owns Wurldwide LLC (Landlord), which will own and operate the campus,” analysts with S&P Global Ratings wrote in a note detailing the deal. “The project is being developed to help meet the increasing demand for AI computing and will play a vital role in Meta’s AI progress.” “The City will continue to review any additional information that becomes available to ensure all contractual obligations to the City continue to be met,” city spokesperson Laura Cruz-Acosta said in an email. The complex and byzantine financial deals underpinning Meta’s data center development – and Meta not briefing city officials beforehand – are a cause for concern, city Rep. Josh Acevedo said. Acevedo represents District 2, which covers parts of Central, South Central and Northeast El Paso. He acknowledged that Meta likely did not violate the economic development agreement with the city, which granted an 80% break on city property taxes for 25 years as well as $12.5 million in city funds to improve the roads near Meta’s data center. RELATED: El Paso adopts tougher rules for future data center developments But Acevedo was critical of Meta for not communicating with the city ahead of the transaction with BlackRock. “I feel that there’s just no trust with Meta,” he told El Paso Matters. “They’re not a good partner. They’re not telling us of their moves until after they do them. And they’re not even alerting us that they’re moving in that direction.” Acevedo suggested the city review its sale of 1,039 acres of land to Meta – via Wurldwide – in 2023 at a price of about $8.5 million to determine if the joint venture with BlackRock violates that agreement. The land sale contract between the city and Wurldwide says neither side can assign, sublet or transfer ownership of the land to an outside entity without written consent of both parties. Wurldwide did not transfer ownership to another entity and it still owns the land and project even after Meta and BlackRock established the joint venture. SEE ALSO: City of El Paso’s Meta data center incentive agreement to remain in place “They know that they can get away with whatever they want to. The power is all in their hands,” Acevedo said. “They don’t need to tell us about anything.” In a statement, Meta said “nothing about Meta’s commitment to El Paso and the entire Borderplex region has changed.” “Meta’s El Paso data center represents a significant long-term investment in this community – supporting thousands of construction and operational jobs and generating millions in local tax revenue,” the company said. BlackRock, Meta deal details Since securing city and county tax breaks nearly three years ago, Meta has made a big investment at the site near the Texas-New Mexico state line. The company valued the land and the partially-constructed data center assets that it put into the joint venture at $2.3 billion combined. “We’re excited to partner with Mark (Zuckerberg) and the Meta leadership team on the El Paso data center campus, which will create thousands of skilled jobs and help drive economic growth in the local community,” Larry Fink, chairman and chief executive of BlackRock, said in a statement. Meta said the BlackRock transaction will have no impact on day-to-day operations at the data center, and that all of its binding agreements with the city, El Paso Electric and El Paso Water remain in effect. READ MORE: Meta data center expected to become city of El Paso’s largest property taxpayer Meta may have developed a kind of template for how to pay for the multi-billion dollar data center campuses the company is building around the country. Meta used a similar deal to offload majority ownership of its Hyperion data center in Louisiana to Blue Owl Capital, a different asset management firm. Much like its El Paso joint venture, Meta also retained 20% ownership while Blue Owl acquired an 80% stake. Investors will ultimately fund construction of both Meta’s El Paso and Louisiana data centers by purchasing bonds issued by each project. In Louisiana, a joint entity called Beignet Investor sold $27 billion in bonds. The debt associated with the El Paso data center pays higher interest to bondholders compared with the interest paid to bondholders of the Louisiana project. Both projects differ in size and structure, but the higher interest rate is a sign that investors in the market were less keen to fund construction of the El Paso facility versus the Hyperion data center campus. Meta has massively accelerated its capital spending on physical assets such as data centers in recent years amid the AI boom. Meta expects capital spending to reach around $137 billion this year, roughly as much as it spent from 2023 through 2025 combined. And some Wall Street analysts expect the company’s capital spending to cross $200 billion in 2027. All of the AI spending is consuming much of Meta’s free cash. Analysts expect the company to generate free cash flow of less than $1 billion this year, compared with $43 billion last year and $52 billion in 2024. In 2027, the company’s free cash flow could turn negative, according to Bloomberg. The BlackRock joint venture “lowers Meta’s near-term cash funding requirements in comparison to a wholly owned facility,” analysts with the rating agency Moody’s said in a note, “and provides additional strategic flexibility should the company adjust its AI investment strategy over time.” Meta’s rent payments on the El Paso data center are expected to generate enough money to repay the $12.3 billion in debt plus interest over 20 years. Fitch Ratings, a global credit rating agency, projects that Sopaipilla Investor will have about $1.12 available for every $1 of debt owed. And if Meta walks away from its El Paso data center, it provides a guarantee to repay bondholders. “Rapid advancements in AI, semiconductor technology, and cooling systems could render infrastructure outdated before full monetization,” Moody’s analysts said, citing risks associated with the AI data center boom. The city’s incentive package and property tax breaks are not necessary for the joint venture company to repay the $12.3 billion in bonds, according to Anubhav Arora, a senior director with Fitch Ratings. “The economic development agreement does not impact debt service coverage ratio of the issuer,” Arora said. Debt service coverage ratio refers to the dollars available for debt payments compared with the dollars of debt owed. The financing transaction shows that Meta could raise billions of dollars for construction without relying on the city’s tax break deal. The 2023 agreement says the project depended on the city benefits and that Meta would not build the campus in El Paso without them. Acevedo argued that the transaction demonstrates that Meta was financially capable of building the campus without help from local taxpayers. “Where did they need help from the taxpayers on this? They didn’t,” he said. “They got a really sweetheart deal.” Data center power plant Even as Meta and BlackRock have assembled billions in funding to finish building the data center, El Paso Electric still needs permission from the Public Utility Commission of Texas to build a dedicated power plant next to the site. Meta’s data campus is expected to demand 1 gigawatt of electricity – equal to about 40% of the power all of El Paso Electric’s other customers use during a hot summer afternoon. The proposed $500 million McCloud power plant would provide 225 megawatts of continuous electricity for the data center. And analysts with S&P Global Ratings said Meta has the ability to ask El Paso Electric to provide another 400 megawatts of electricity in the future if necessary. Whether the PUC approves the controversial plant is an open question for now. PUC staffers recommended last month that commissioners deny approval of the plant, arguing El Paso Electric did not conduct a competitive bidding process or analyze the impacts to other ratepayers enough. The PUC will likely issue a decision later this year. Regardless, Meta is required to start paying rent on the data center in 2028. So, for bondholders, there’s minimal risk hinging on the PUC’s decision to approve or deny construction of the McCloud plant, according to Fitch Ratings. “The tenant commences rent on a ‘date-certain’ basis irrespective of the actual construction status of the project,” Arora said.",full,,,rss,data centre,2026-08-10T09:44:27.703237+00:00
116,New Amazon Data Center Stokes Worry It Would Be the Most Polluting Power Plant in the U.S. - The New York Times,https://www.nytimes.com/2026/08/08/climate/amazon-data-center-texas-pollution.html,The New York Times,2026-08-08,technology,unsummarized,New Amazon Data Center Stokes Worry It Would Be the Most Polluting Power Plant in the U.S.&nbsp;&nbsp;The New York Times,New Amazon Data Center Stokes Worry It Would Be the Most Polluting Power Plant in the U.S.&nbsp;&nbsp;The New York Times,snippet,,,rss,data centre,2026-08-10T09:44:18.787940+00:00
117,How Amazon Built a Data Center in a California Town Without Anyone Noticing - WSJ,https://www.wsj.com/us-news/how-amazon-built-a-data-center-in-a-california-town-without-anyone-noticing-8610bb67,WSJ,2026-08-08,technology,unsummarized,How Amazon Built a Data Center in a California Town Without Anyone Noticing&nbsp;&nbsp;WSJ,How Amazon Built a Data Center in a California Town Without Anyone Noticing&nbsp;&nbsp;WSJ,snippet,,,rss,data centre,2026-08-10T09:44:21.964573+00:00
118,Americans are turning against AI and it’s a problem for Republicans - The Times,https://www.thetimes.com/us/news-today/article/us-data-centre-trump-vote-winner-c23jcgxqf,The Times,2026-08-08,technology,unsummarized,Americans are turning against AI and it’s a problem for Republicans&nbsp;&nbsp;The Times,Americans are turning against AI and it’s a problem for Republicans&nbsp;&nbsp;The Times,snippet,,,rss,data centre,2026-08-10T09:44:24.732446+00:00
4,AI used to create synthetic virus - The Hill,https://thehill.com/policy/technology/6016432-artificial-intelligence-synthetic-virus-creation/,The Hill,2026-08-07,technology,unsummarized,AI used to create synthetic virus&nbsp;&nbsp;The Hill,AI used to create synthetic virus&nbsp;&nbsp;The Hill,snippet,,,rss,AI,2026-08-08T08:33:03.787143+00:00
8,Exclusive | Situational Awareness Bets $400 Million on Stealth Chip Startup After Crash - WSJ,https://www.wsj.com/tech/ai/situational-awareness-bets-400-million-on-stealth-chip-startup-after-crash-02c7374e,WSJ,2026-08-07,technology,unsummarized,Exclusive | Situational Awareness Bets $400 Million on Stealth Chip Startup After Crash&nbsp;&nbsp;WSJ,Exclusive | Situational Awareness Bets $400 Million on Stealth Chip Startup After Crash&nbsp;&nbsp;WSJ,snippet,,,rss,AI,2026-08-08T08:33:15.340745+00:00
10,Garbage-Truck Margin Boost Shows the AI Profit Boom Has Begun - Bloomberg.com,https://www.bloomberg.com/news/articles/2026-08-07/garbage-truck-margin-boost-shows-the-ai-profit-boom-has-begun,Bloomberg.com,2026-08-07,technology,unsummarized,Garbage-Truck Margin Boost Shows the AI Profit Boom Has Begun&nbsp;&nbsp;Bloomberg.com,Garbage-Truck Margin Boost Shows the AI Profit Boom Has Begun&nbsp;&nbsp;Bloomberg.com,snippet,,,rss,AI,2026-08-08T08:33:20.863283+00:00
15,Opinion | Don't Anthropomorphize Artificial Intelligence - WSJ,https://www.wsj.com/opinion/don-t-anthropomorphize-artificial-intelligence-ad9ad358,WSJ,2026-08-07,technology,unsummarized,Opinion | Don't Anthropomorphize Artificial Intelligence&nbsp;&nbsp;WSJ,Opinion | Don't Anthropomorphize Artificial Intelligence&nbsp;&nbsp;WSJ,snippet,,,rss,artificial intelligence,2026-08-08T08:35:00.191166+00:00
36,Fairlead's Katie Stockton talks the technicals on the semiconductor rally - CNBC,https://www.cnbc.com/video/2026/08/07/fairleads-katie-stockton-talks-the-technicals-on-the-semiconductor-rally.html,CNBC,2026-08-07,technology,unsummarized,Fairlead's Katie Stockton talks the technicals on the semiconductor rally&nbsp;&nbsp;CNBC,Fairlead's Katie Stockton talks the technicals on the semiconductor rally&nbsp;&nbsp;CNBC,snippet,,,rss,semiconductor,2026-08-09T15:12:04.915362+00:00
55,"Climate change created conditions for Canada fires, scientists say, as Trump blames mismanagement - PBS",https://www.pbs.org/newshour/world/climate-change-created-conditions-for-canada-fires-scientists-say-as-trump-blames-mismanagement,PBS,2026-08-07,environment,unsummarized,"Climate change created conditions for Canada fires, scientists say, as Trump blames mismanagement&nbsp;&nbsp;PBS","Climate change created conditions for Canada fires, scientists say, as Trump blames mismanagement&nbsp;&nbsp;PBS",snippet,,,rss,climate,2026-08-09T15:32:23.757744+00:00
60,Why California Is Still a Climate Bellwether - Time Magazine,https://time.com/article/2026/08/07/california-climate-change-policy/,Time Magazine,2026-08-07,environment,unsummarized,Why California Is Still a Climate Bellwether&nbsp;&nbsp;Time Magazine,Why California Is Still a Climate Bellwether&nbsp;&nbsp;Time Magazine,snippet,,,rss,climate,2026-08-09T15:32:32.484439+00:00
120,"Data center firm Switch confidentially files for US IPO, Bloomberg News reports - reuters.com",https://www.reuters.com/legal/transactional/data-center-firm-switch-confidentially-files-us-ipo-bloomberg-news-reports-2026-08-07/,reuters.com,2026-08-07,technology,unsummarized,"Data center firm Switch confidentially files for US IPO, Bloomberg News reports&nbsp;&nbsp;reuters.com","Data center firm Switch confidentially files for US IPO, Bloomberg News reports&nbsp;&nbsp;reuters.com",snippet,,,rss,data centre,2026-08-10T09:44:29.911623+00:00
3,This A.I. Just Created Viruses Not Found in Nature - The New York Times,https://www.nytimes.com/2026/08/06/science/ai-viruses-bacteria-arc.html,The New York Times,2026-08-06,technology,unsummarized,This A.I. Just Created Viruses Not Found in Nature&nbsp;&nbsp;The New York Times,This A.I. Just Created Viruses Not Found in Nature&nbsp;&nbsp;The New York Times,snippet,,,rss,AI,2026-08-08T08:33:01.328305+00:00
13,AI designs new virus not found in nature - Axios,https://www.axios.com/2026/08/06/ai-virus-designed-bacteria-viruses,Axios,2026-08-06,technology,unsummarized,AI designs new virus not found in nature&nbsp;&nbsp;Axios,AI designs new virus not found in nature&nbsp;&nbsp;Axios,snippet,,,rss,artificial intelligence,2026-08-08T08:34:54.426298+00:00
18,India’s IT sector is surviving artificial intelligence - The Economist,https://www.economist.com/finance-and-economics/2026/08/06/indias-it-sector-is-surviving-artificial-intelligence,The Economist,2026-08-06,technology,unsummarized,India’s IT sector is surviving artificial intelligence&nbsp;&nbsp;The Economist,India’s IT sector is surviving artificial intelligence&nbsp;&nbsp;The Economist,snippet,,,rss,artificial intelligence,2026-08-08T08:35:08.238304+00:00
33,Nokia snags NXP's Chandler chip fabs as it ramps up U.S. optical manufacturing - The Business Journals,https://www.bizjournals.com/phoenix/news/2026/08/06/nokia-agreement-buy-nxp-fab-chandler.html,The Business Journals,2026-08-06,technology,unsummarized,Nokia snags NXP's Chandler chip fabs as it ramps up U.S. optical manufacturing&nbsp;&nbsp;The Business Journals,Nokia snags NXP's Chandler chip fabs as it ramps up U.S. optical manufacturing&nbsp;&nbsp;The Business Journals,snippet,,,rss,semiconductor,2026-08-09T15:11:56.676747+00:00
34,Trump announces tariffs on key component for solar panels and semiconductors - Politico,https://www.politico.com/news/2026/08/06/trump-tariffs-solar-semiconductors-01028009,Politico,2026-08-06,technology,unsummarized,Trump announces tariffs on key component for solar panels and semiconductors&nbsp;&nbsp;Politico,Trump announces tariffs on key component for solar panels and semiconductors&nbsp;&nbsp;Politico,snippet,,,rss,semiconductor,2026-08-09T15:11:59.485763+00:00
38,SpaceX to build $16.8 billion semiconductor plant in Grimes County - KHOU,https://www.khou.com/article/news/local/grimes-county-texas-spacex-plant/285-77593643-b7d1-4eaf-9a4a-a3f1534abd0e,KHOU,2026-08-06,technology,unsummarized,SpaceX to build $16.8 billion semiconductor plant in Grimes County&nbsp;&nbsp;KHOU,SpaceX to build $16.8 billion semiconductor plant in Grimes County&nbsp;&nbsp;KHOU,snippet,,,rss,semiconductor,2026-08-09T15:12:10.228073+00:00
22,Meta Releases Coding Agent to Compete With OpenAI and Anthropic - WSJ,https://www.wsj.com/tech/ai/meta-releases-coding-agent-to-compete-with-openai-and-anthropic-af87b517,WSJ,2026-08-05,technology,unsummarized,Meta Releases Coding Agent to Compete With OpenAI and Anthropic&nbsp;&nbsp;WSJ,Meta Releases Coding Agent to Compete With OpenAI and Anthropic&nbsp;&nbsp;WSJ,snippet,,,rss,anthropic,2026-08-08T08:36:00.945961+00:00
27,"Anthropic to build in-house chip design team for Claude, hire engineers - Reuters",https://www.reuters.com/business/anthropic-build-in-house-chip-design-team-claude-hire-engineers-2026-08-05/,Reuters,2026-08-05,technology,unsummarized,"Anthropic to build in-house chip design team for Claude, hire engineers&nbsp;&nbsp;Reuters","Anthropic to build in-house chip design team for Claude, hire engineers&nbsp;&nbsp;Reuters",snippet,,,rss,anthropic,2026-08-08T08:36:25.208705+00:00
